date,row_index,within_date_order,innovation,innovation_variance,standardized_innovation
2022-07-22,0,0,0.06740892526212611,0.008949646639735442,0.7125485470073003
2022-07-22,1,1,0.051163078192525885,0.003978067818295577,0.4362527987858681
2022-07-22,2,2,0.03791899841842916,0.0019082678167853047,0.2434363219306283
2022-07-22,3,3,0.032674643099937076,0.0013629068308867748,0.23122987172605278
2022-07-25,4,0,-0.0013817620696160993,0.002280140683668644,-0.028936929420230857
2022-07-25,5,1,-0.0007532944033496955,0.0006535611248731065,-0.006188600713444687
2022-07-25,6,2,-0.003402672761307922,0.00015643750559661272,-0.41848053446006445
2022-07-25,7,3,0.0006678773454571393,9.745195924033049e-05,0.2773599101360884
2022-07-26,8,0,-0.05692729250325977,0.002499330165437081,-1.1386984081948608
2022-07-26,9,1,-0.029676907711797103,0.0006832602475736665,-0.15282903111357268
2022-07-26,10,2,-0.01243419149298717,0.00015231882645713458,-0.13366935632556098
2022-07-26,11,3,-0.005730365767610452,9.221471779672494e-05,0.27776955312961565
2022-07-27,12,0,-0.007650176058803814,0.002750130859867996,-0.14587966263399776
2022-07-27,13,1,-0.0075186185491896255,0.0007173811193024526,-0.5108620738843839
2022-07-27,14,2,-0.004796049508236099,0.0001531441575342502,-0.30527966091805664
2022-07-27,15,3,-0.0039550823855239794,9.161397412120908e-05,-0.2074543145424066
2022-07-28,16,0,-0.003847932781579091,0.0030376110064363883,-0.06981703448616951
2022-07-28,17,1,-0.010632360855161338,0.0007547440858310053,-1.194200806332445
2022-07-28,18,2,-0.0077169463023180375,0.0001549141478417585,-0.5975656099995902
2022-07-28,19,3,-0.006875468228011512,9.185571901422718e-05,-0.417299647794021
2022-07-29,20,0,0.0020087297905146094,0.00336836641865132,0.03461081738835894
2022-07-29,21,1,-0.007603642636792675,0.0007954342389870407,-1.1616925810044372
2022-07-29,22,2,-0.0025209931945172383,0.00015694623319006644,-0.020695931881758566
2022-07-29,23,3,-0.00041060506294548355,9.229255079965944e-05,0.27263243906048285
2022-08-01,24,0,0.03677338997528092,0.0037504379000175094,0.6004718851490185
2022-08-01,25,1,0.01530563330334127,0.0008397711057065902,-0.207154156187179
2022-08-01,26,2,0.00838289613823267,0.00015908913462434057,0.39134377889997823
2022-08-01,27,3,0.008747661675336195,9.278037497876602e-05,0.6914537846061996
2022-08-02,28,0,-0.07813195907192075,0.0041936139047485926,-1.2065199074044277
2022-08-02,29,1,-0.03975594800259071,0.000888171231271777,-0.6672133475478527
2022-08-02,30,2,-0.018059396655220515,0.00016130969685050346,-0.5765755223577602
